institution,weighted_degree_centrality
Universidad de Jaén,40
Örebro University,40
Van Yüzüncü Yıl Üniversitesi,40
Alexandru Ioan Cuza University,40
Nagoya University of Commerce and Business,40
University of Nigeria,40
Darmstadt University of Applied Sciences,40
Kuban State University,40
De Montfort University,40
Universidad Tecnológica de Bolívar,40
University of Salford,40
University of Auckland,40
Obafemi Awolowo University,40
University of Santo Tomas,40
Sokoine University of Agriculture,40
Birzeit University,40
University of New England,40
Kyambogo University,40
Menoufia University,40
University of Greenwich,40
Sultan Qaboos University,40
Keimyung University,39
West Virginia University Hospitals,39
St Vincent's Hospital,39
Corewell Health Blodgett Hospital,39
Children's Hospital Colorado,39
Hospital Nossa Senhora das Graças,39
Ruhr University Bochum,39
University of Insubria,39
University Hospitals Birmingham NHS Foundation Trust,39
NewYork–Presbyterian Hospital,39
Long Island University,39
Sheba Medical Center,39
Heart and Diabetes Center North Rhine-Westphalia,39
Hospital Universitario La Paz,39
New York Hospital Queens,39
California Pacific Medical Center,39
Harefield Hospital,39
Duke Medical Center,39
UPMC Hillman Cancer Center,39
University of Pittsburgh Medical Center,39
Incheon Medical Center,39
The Barbara Ann Karmanos Cancer Institute,39
Stollery Children's Hospital,39
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,39
Cedars-Sinai Smidt Heart Institute,39
Azienda USL di Bologna,39
Sooriya Hospital,39
University of Indonesia,39
Eastern Maine Medical Center,39
Cape Cod Hospital,39
SUNY Upstate Medical University,39
Medical University of South Carolina,39
National Marrow Donor Program,39
Atrium Health Wake Forest Baptist,39
Breakthrough T1D,39
MultiMedica,39
Schneider Children's Medical Center,39
Grady Health System,39
National Institute of Diabetes and Digestive and Kidney Diseases,39
Kinderkrankenhaus auf der Bult,39
Jewish General Hospital,39
Instituto de Salud Carlos III,39
Ljubljana University Medical Centre,39
American Diabetes Association,39
Joslin Diabetes Center,39
Jikei University School of Medicine,39
University of Pisa,39
Velocity Clinical Research (United States),39
Jaeb Center for Health Research,39
Stanford Medicine,39
Close Concerns (United States),39
Diabetes Care & Hormone Clinic,39
Park Nicollet Clinic,39
Universidad de Los Andes,38
Makerere University,38
Fundação Getulio Vargas,37
Research Advocacy Network,37
International University of Rabat,37
Montpellier Business School,37
"Laboratoire en Innovation, Technologies, Economie et Management",37
Escola de Administração de Empresas de São Paulo,37
Al-Ahliyya Amman University,37
École Supérieure de Commerce de Toulouse,37
Nanchang Institute of Technology,37
University of North Carolina at Greensboro,37
Symbiosis International University,37
Korea University,37
University of Limerick,37
Sri Ramachandra Institute of Higher Education and Research,37
Liverpool College,37
Indian Institute of Management Shillong,37
IPAG Business School,37
University Medical Center of the Johannes Gutenberg University Mainz,36
École de management de Normandie,36
"Kasturba Medical College, Manipal",35
Qatar University,35
Medical University of Vienna,34
École de management de Lyon,34
Malaviya National Institute of Technology Jaipur,34
Mudra Institute of Communications Ahmedabad,34
Hospital Provincial de Rosario,33
Instituto do Câncer do Estado de São Paulo,33
I-Shou University,33
Toranomon Hospital,33
Zhongshan Hospital,33
Bristol-Myers Squibb (United States),33
E-Da Hospital,33
National Cancer Center,33
Kanagawa Cancer Center,33
The Christie NHS Foundation Trust,33
"The First Affiliated Hospital, Sun Yat-sen University",33
Lovely Professional University,33
Universidad de Oviedo,33
National Hospital of Pediatrics,33
Centro de Investigación Biomédica en Red de Enfermedades Hepáticas y Digestivas,33
AstraZeneca (Japan),33
Sutton Hospital,33
Akita University Hospital,33
Kanagawa Prefectural Hospital Organization,33
Keio University,33
Chinese PLA General Hospital,33
Centre Oscar Lambret,33
81th Hospital of PLA,33
Instituto de Investigación Sanitaria del Principado de Asturias,33
Queen Mary Hospital,33
Institut de Recherche en Cancérologie de Montpellier,33
Centrum Onkologii,33
Saveetha University,33
CRUK Lung Cancer Centre of Excellence,33
Public Health Foundation of India,33
Sun Yat-sen University,33
Institute of Cancer Research,32
Centre Hospitalier Universitaire de Tours,32
Karolinska University Hospital,32
Centro de Investigación del Cáncer,32
Janssen (Switzerland),32
Navarre Institute of Health Research,32
Spanish National Cancer Research Centre,32
Biomedical Research Institute,32
National Institute for Health Research,32
Instituto de Investigación Biomédica de Salamanca,32
Janssen (Belgium),32
University College London Hospitals NHS Foundation Trust,32
Janssen (United States),32
Centro de Investigación Biomédica en Red de Cáncer,32
Institut Català d'Oncologia,32
Chatham House,29
Grady Memorial Hospital,29
Kasetsart University,29
Ministry of Public Health,29
"Maladies Infectieuses et Vecteurs: Écologie, Génétique, Évolution et Contrôle",29
International Development Research Centre,29
Friedrich-Loeffler-Institut,29
National Institute of Technology Tiruchirappalli,29
"University of Nevada, Las Vegas",29
Massey University,29
Chinese Center For Disease Control and Prevention,29
Mississippi State University,29
University of Sheffield,29
Bournemouth University,29
University of La Salle,29
Grand Valley State University,29
Adam Smith Institute,29
Université Kofi Annan de Guinée,29
Federal Service for Surveillance on Consumer Rights Protection and Human Wellbeing,29
Universidad de Zaragoza,29
Indian Institute of Technology Kanpur,29
Erasmus University Rotterdam,29
York University,29
ARK Foundation,29
Ministerio de Salud,29
Tsinghua University,28
United Nations,28
George Institute for Global Health,28
Robert Bosch (Germany),28
UNESCO,28
Burnet Institute,28
Athens University of Economics and Business,28
International Monetary Fund,28
Organisation de Coopération et de Développement Economiques,28
China-Japan Friendship Hospital,28
Kenya AIDS Vaccine Initiative,28
Institut du Développement Durable et des Relations Internationales,28
Bibliotheca Alexandrina,28
Royal Society of Tropical Medicine and Hygiene,28
Harvard Global Health Institute,28
Helmholtz Centre for Environmental Research,27
SRM University,26
Cardiff University,26
Singapore General Hospital,26
Nitte University,26
RMIT University,26
Institute of Genomics and Integrative Biology,26
Jacksonville College,25
Hanoi Medical University Hospital,25
Sunway University,25
Centro de Investigación Biomédica en Red,25
AstraZeneca (United States),25
Haramaya University,24
Hemel Hempstead Hospital,24
Schizophrenia Research Foundation,24
Govind Ballabh Pant University of Agriculture and Technology,24
The Geneva Association,24
NLR Nepal,24
Tunis El Manar University,24
BGC Trust University Bangladesh,24
Guangzhou Medical University,24
South London and Maudsley NHS Foundation Trust,24
Centre for Mental Health,24
Sierra Leone Urban Research Centre,24
Peking University Sixth Hospital,24
Bahir Dar University,24
Free University of Bozen-Bolzano,23
University of Waikato,22
National Institute of Environmental Health Sciences,22
Pure Earth,22
Alliance for Health Policy and Systems Research,22
Walker (United States),22
DELL (United States),22
Consortium of Universities for Global Health,22
XinHua Hospital,22
New York University,22
World Resources Institute,22
University of Akron,22
München Klinik,22
Instituto Nacional de Salud Pública,22
Nigerian Institute of Medical Research,22
Amity University,22
Indiana University Bloomington,22
Central University of Rajasthan,22
Machine Intelligence Research Labs,22
Vienna General Hospital,22
Tianjin University,22
Innopolis University,22
Royal Marsden NHS Foundation Trust,22
Indian Institute of Tropical Meteorology,22
TU Wien,22
Royal North Shore Hospital,22
Azienda Ospedaliero-Universitaria Careggi,22
University Hospital of Bern,22
Shenzhen Institutes of Advanced Technology,22
University of Birmingham,22
World Bank,22
Health Effects Institute,22
Boston College,22
Sechenov University,22
Tabriz University of Medical Sciences,22
King Khalid University,21
Alexandria University,21
Magna Graecia University,21
Swinburne University of Technology Sarawak Campus,21
Kumaun University,21
University of Naples Federico II,21
Université Toulouse III - Paul Sabatier,21
Istituto Superiore di Sanità,21
Sri Venkateswara Veterinary University,21
Bursa Uludağ Üni̇versi̇tesi̇,21
Jazan University,21
Sumy State University,21
Lebanese University,21
Maharaja Sayajirao University of Baroda,21
Oxford University Hospitals NHS Trust,21
BRAC University,21
Infectious Diseases Institute,21
Centre National pour la Recherche Scientifique et Technique (CNRST),20
Allegheny Health Network,20
Wroclaw Medical University,20
University of Delhi,20
Roche (United Kingdom),20
Laboratoire Chrono-Environnement,20
Near East University,20
Hebron University,20
Roche (Switzerland),20
Research Center for Eco-Environmental Sciences,20
Federal Institute of Hydrology,20
University of Algarve,20
Istituto di Ricerche Chimiche e Biochimiche G. Ronzoni,20
Aix-Marseille Université,20
Centre de Recherche et d’Enseignement de Géosciences de l’Environnement,20
Centre Hospitalier Universitaire de Besançon,20
Universidad Nacional de Colombia,20
Autonomous University of Sinaloa,20
National Geophysical Research Institute,20
Jiwaji University,20
Groupe de Recherches et d'Echanges Technologiques,20
Korle Bu Teaching Hospital,20
AC Camargo Hospital,20
Princess Margaret Cancer Centre,20
World Health Organization - Zimbabwe,20
Ghent University Hospital,20
Universitair Ziekenhuis Brussel,20
Groupe de Recherche sur les formes Injectables et les Technologies Associées,20
Chandigarh University,20
B.P. Koirala Memorial Cancer Hospital,20
National Cancer Institute of Sri Lanka,20
Uganda Cancer Institute,20
Vellore Institute of Technology University,20
Jamia Millia Islamia,20
Hacettepe University,20
Daffodil International University,20
University of Dhaka,20
Jawaharlal Nehru University,19
Taif University,19
COMSATS University Islamabad,19
Dr. Yashwant Singh Parmar University of Horticulture and Forestry,18
Sri Sivasubramaniya Nadar College of Engineering,18
Dartmouth Hospital,18
META Health,18
"International Institute of Information Technology, Hyderabad",18
Carnegie Mellon University Africa,18
University of Minnesota System,18
Berkeley College,18
Moscow Institute of Thermal Technology,18
California University of Pennsylvania,18
University of Catania,18
King Abdullah University of Science and Technology,18
Jagiellonian University,18
Swinburne University of Technology,17
Energy Consulting Network (Denmark),17
UCL Biomedical Research Centre,17
Fondation Congolaise Pour La Recherche Médicale,17
Méditerranée Infection Foundation,17
Ministry of Health,17
Aga Khan University,17
Kenyatta University,17
Istituti Clinici Scientifici Maugeri,17
Liverpool School of Tropical Medicine,17
Indus Hospital,17
Voluntary Health Services Hospital,17
Dr. B. R. Ambedkar National Institute of Technology Jalandhar,17
Champalimaud Foundation,17
All India Institute of Medical Sciences Bhopal,16
Graphic Era University,16
Indian Institute of Technology Bombay,16
CEA Cadarache,15
"Institut de Génétique, Environnement et Protection des Plantes",15
CEA Grenoble,15
European Molecular Biology Laboratory,15
National Research Council,15
Université Clermont Auvergne,15
Indian Institute of Chemical Technology,15
West Bengal State University,15
Jadavpur University,15
Kakatiya University,15
Instituto de Productos Naturales y Agrobiología,15
Simula Research Laboratory,15
Institute for Experimental Endocrinology and Oncology,15
Indraprastha Institute of Information Technology Delhi,15
Universitat Politècnica de València,15
Presidency University,15
National Institute of Technology Warangal,15
Addenbrooke's Hospital,14
National Institute of Genetics,14
Universidade Federal de Pelotas,14
University of Chittagong,14
Hasanuddin University,14
Jahangirnagar University,14
University of Development Alternative,14
Mawlana Bhashani Science and Technology University,14
Chattogram Veterinary and Animal Sciences University,14
Indian Veterinary Research Institute,14
Ifakara Health Institute,14
Region Zealand,14
Regional Medical Research Centre,14
Universidad Peruana Cayetano Heredia,14
National Institute of Infectious Diseases,14
Cambridge University Hospitals NHS Foundation Trust,14
Université de Sherbrooke,14
National Institute of Food Technology Entrepreneurship and Management,14
University of Petroleum and Energy Studies,14
The George Institute for Global Health,14
University of Miyazaki,14
MRC Laboratory of Molecular Biology,14
Saiseikai Utsunomiya hospital,14
Tennessee Oncology,13
University of Beira Interior,13
University of Zagreb,13
Universidade de Santiago de Compostela,13
Beijing Normal University,13
An-Najah National University,13
Ambedkar University Delhi,13
Anadolu University,13
Korea Advanced Institute of Science and Technology,13
University of Messina,13
Virginia Cancer Specialists,13
Lappeenranta-Lahti University of Technology,13
Mary Crowley Cancer Research Center,13
"University of California, Irvine",13
Mirati Therapeutics (United States),13
Sarah Cannon,13
Rowan University,13
Parthenope University of Naples,13
HHL Leipzig Graduate School of Management,13
Mayo Clinic Hospital,13
Universidad Internacional De La Rioja,13
Thapar Institute of Engineering & Technology,13
Université Polytechnique Hauts-de-France,13
"Laboratoire d'Automatique, de Mécanique et d'Informatique Industrielles et Humaines",13
Eskişehir City Hospital,13
Woodlands Hospital,13
Sharda University,13
INSA Hauts-de-France,13
Institut National des Sciences Appliquées de Rennes,13
National Institute of Genetic Engineering and Biotechnology,12
Sankara Nethralaya,12
Moorfields Eye Hospital,12
Sinai Hospital,12
Peter the Great St. Petersburg Polytechnic University,12
Universidade Federal do Rio Grande do Sul,12
Christian Medical College,12
China Medical University,12
Shahid Beheshti University of Medical Sciences,12
Uttaranchal University,12
Zhejiang A & F University,12
Foshan University,12
University of Wuppertal,12
Banasthali University,12
Gurukul Kangri Vishwavidyalaya,12
Translational Health Science and Technology Institute,12
Baba Farid University of Health Sciences,12
Ministry of Food Processing Industries,12
Universidad Politécnica de Puebla,12
Cihan University-Erbil,12
University of Babylon,12
Chulabhorn Hospital,12
Suez Canal University,12
University of Newcastle Australia,12
National University of Civil Engineering,12
Cihan University Sulaimaniya,12
Sabzevar University of Medical Sciences,12
Yangzhou University,12
Auckland University of Technology,12
Universität für Weiterbildung Krems,12
Umm al-Qura University,12
Skåne University Hospital,12
Heart and Stroke Foundation,12
Kansas State University,12
National Environmental Engineering Research Institute,12
Christian Medical College & Hospital,12
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,11
Society for Cardiovascular Angiography and Interventions,11
Hospital Dr. Gustavo Fricke,11
Zimmerman Associates (United States),11
Tyrone County Hospital,11
Joint Commission,11
All India Institute of Medical Sciences Raipur,11
University of Tennessee at Knoxville,11
Northumbria University,11
Indian Council of Agricultural Research,11
Indian Institute of Technology Madras,11
House of Representatives,11
Grace (United States),11
Karen Hospital,11
Association of Chartered Certified Accountants,11
John D Bray MD,11
Dawn Research (United States),11
Central Pollution Control Board,10
University of Jyväskylä,10
Xiamen University Malaysia,10
Dalhousie University,10
Wenzhou University,10
SRM Institute of Science and Technology,10
Hydro-Québec,10
KPR Institute of Engineering and Technology,10
University of Nottingham Malaysia Campus,10
University of Cincinnati,10
Dublin City University,10
Al-Farahidi University,10
Tyumen State Medical University,10
University of Karbala,10
Ministry of Higher Education and Scientific Research,10
Al-Nisour University College,10
University of Madras,10
University of Mosul,10
Abasyn University,9
Institute of Medical Sciences,9
University of Science and Technology of Fujairah,9
Combined Military Hospital,9
CMH Lahore Medical College and Institute of Dentistry,9
Khyber Medical University,9
Universiti Brunei Darussalam,9
National Health Service,9
University of Veterinary and Animal Sciences,9
Father Muller Medical College Hospital,9
University Hospital Southampton NHS Foundation Trust,9
Max Healthcare,9
Asian Institute of Gastroenterology,9
National University Hospital,9
Dubai Pharmacy College,9
Shoolini University,9
Universidad del Azuay,9
University of Medicine and Pharmacy of Craiova,9
Arturo Prat University,9
G.B. Pant Institute of Himalayan Environment and Development,9
Virginia Commonwealth University,9
Nottingham City Hospital,9
National University Heart Centre Singapore,9
Houston Institute for Clinical Research,9
Guru Nanak Dev University,9
Carol Davila University of Medicine and Pharmacy,9
University of Kuala Lumpur,8
Gyeongsang National University,8
Rajalakshmi Engineering College,8
University of Nebraska Medical Center,8
Islamic University of Science and Technology,8
DR. B.R.A. Institute Rotary Cancer Hospital,8
Muscat College,8
Mahsa University,8
Qatar Airways (Qatar),8
Jaipuria Institute of Management,8
Central University of Kashmir,8
Indian Statistical Institute,8
Academy of Scientific and Innovative Research,8
AIMST University,8
Taiyuan University of Science and Technology,7
Al-Azhar University,7
Zhengzhou University,7
Materials Processing (United States),7
University of Stavanger,7
Banaras Hindu University,7
Post Graduate Institute of Medical Education and Research,7
Universitas Budi Luhur,7
Baba Ghulam Shah Badshah University,7
University of Reggio Calabria,7
Alfaisal University,7
Career Point University,7
Curtin University Sarawak,7
University of Kentucky,7
Alliance University,7
Mahidol University,7
Almaarefa University,7
Qazvin University of Medical Sciences,7
University of Phayao,7
University B.D.T College of Engineering,7
Pandit Deendayal Petroleum University,6
Institut Européen des Membranes,6
Brno University of Technology,6
Rajiv Gandhi Institute of Petroleum Technology,6
Technological University Dublin,6
Kinnaird College for Women University,6
Brandon University,6
Western Norway University of Applied Sciences,6
American University of Sharjah,6
Universiti Teknologi Petronas,6
Zhengzhou University of Light Industry,6
Bar-Ilan University,6
Qilu University of Technology,6
Beijing Institute of Technology,6
Punjab Agricultural University,6
Shiraz University of Medical Sciences,6
Kurdistan University of Medical Sciences,6
PES University,6
Government of Mizoram,6
Indian Agricultural Research Institute,6
Tea Research Association,6
Alma Mater Europaea,6
Nanjing University,6
Aalto University,6
Shandong Academy of Sciences,6
Central University of Punjab,6
Laboratoire Science & technologie du Lait & de l'œuf,6
Fu Jen Catholic University,6
Misr University for Science and Technology,6
Bangabandhu Sheikh Mujibur Rahman Science and Technology University,6
Prince Sattam Bin Abdulaziz University,6
Air University,6
Dr. Ram Manohar Lohia Avadh University,6
University of Management and Technology,6
International Management Institute,6
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,6
University of Oradea,6
National Bureau of Plant Genetic Resources,6
National Institute for Interdisciplinary Science and Technology,6
Princess Alexandra Hospital,6
Central Institute of Post-Harvest Engineering and Technology,6
National Research Centre for Integrated Pest Management,6
University of Maribor,6
Haute École Provinciale de Hainaut Condorcet,6
University of Allahabad,6
École Nationale Supérieure de Chimie de Montpellier,6
China Medical University Hospital,6
Complexity Science Hub Vienna,6
Qassim University,5
American University of Antigua,5
Centre for Advanced Bioenergy Research,5
International Centre for Genetic Engineering and Biotechnology,5
KTH Royal Institute of Technology,5
University of Cagliari,5
University of Calicut,5
Odisha University of Agriculture and Technology,5
Islamic Azad University of Shiraz,5
Persian Gulf University,5
Florida Polytechnic University,5
Imam Abdulrahman Bin Faisal University,5
Central Rice Research Institute,5
North Eastern Regional Institute of Science and Technology,5
Narsee Monjee Institute of Management Studies,5
Washington State University,5
Institute of Advanced Study in Science and Technology,5
West Bengal University of Animal and Fishery Sciences,5
Sher-e-Bangla Agricultural University,5
Institute of Microbial Technology,5
K S Hegde Medical Academy,5
Northwest A&F University,5
University of Borås,5
Central University of Jammu,5
Nalanda University,5
Mahavir Cancer Institute and Research Centre,5
Mansoura University,5
Mizan Tepi University,5
University for Business and Technology,5
University of Hawaiʻi at Mānoa,5
Pasteur Institute of Iran,5
Regione Lazio,5
Yeungnam University,5
Panjab University,5
Danderyds sjukhus,5
North-West University,5
Majmaah University,5
Jawaharlal Nehru Krishi Vishwa Vidyalaya,5
Indian Institute of Vegetable Research,5
King Abdulaziz City for Science and Technology,5
Indira Gandhi Agricultural University,5
Luleå University of Technology,5
Magadh University,5
Centre for Chronic Disease Control,5
"Vietnam National University, Hanoi",5
Galgotias University,5
National University of Science and Technology,5
Instituto de Química y Fisicoquímica Biológicas,5
Riga Technical University,5
Agenzia Regionale Parchi,5
Dongguk University,4
O. P. Jindal Global University,4
Guru Gobind Singh Medical College and Hospital,4
Kidney Health Australia,4
Software Competence Center Hagenberg (Austria),4
Hellenic Mediterranean University,4
Texas Tech University Health Sciences Center,4
University of Mumbai,4
University of South Carolina,4
Durban University of Technology,4
VIT-AP University,4
University of Reading,4
Central Salt and Marine Chemicals Research Institute,4
University of West Bohemia,4
University of Bologna,4
Universiti Teknologi Brunei,4
Texas A&M University at Galveston,4
Catholic University of Daegu,4
International Islamic University Chittagong,4
Texas Tech University,4
University of Hyderabad,4
Jain University,4
Indian Institute of Technology Indore,4
Deen Dayal Upadhyaya Gorakhpur University,4
Pondicherry University,4
Netaji Subhas University of Technology,4
Central Electrochemical Research Institute,4
Aligarh Muslim University,4
Mangalmay Institute of Management and Technology,3
University of Asia Pacific,3
Institute for Stem Cell Biology and Regenerative Medicine,3
Pusan National University,3
University of South Florida,3
"University of Chemistry and Technology, Prague",3
University of Talca,3
SASTRA University,3
Gujarat Technological University,3
Universiti Sains Malaysia,3
University of Alabama,3
Bangladesh University of Textiles,3
"Dr. D. Y. Patil Medical College, Hospital and Research Centre",3
Central Institute of Technology Kokrajhar,3
Städtisches Klinikum Dresden,3
Babu Banarasi Das University,3
University of the West of England,3
Institute of Chemical Technology,3
Bodoland University,3
SVS Medical College,3
North East Institute of Science and Technology,3
Singapore University of Technology and Design,3
Edinburgh Napier University,3
Assam University,3
Babasaheb Bhimrao Ambedkar University,3
Target (United States),3
State Key Laboratory of Reproductive Medicine,3
GLA University,3
Institute of Molecular Medicine,2
Jubilant Life Sciences (India),2
Techno India University,2
Instituto de Tecnología Química,2
Xavier School of Management,2
Indira Gandhi National Tribal University,2
Yamagata University,2
Punjab Technical University,2
Central Leather Research Institute,2
Florida Gulf Coast University,2
Nova Southeastern University,2
Indus University,2
Shri Mata Vaishno Devi University,2
Indian Institute of Information Technology Allahabad,2
Indian Institute of Technology Bhubaneswar,2
University of Minho,2
Chhatrapati Shahu Ji Maharaj University,2
Indian Institute of Management Lucknow,2
Nirma University,2
Institute of Business Management,2
CT Group Of Institutions,2
Tezpur University,2
Defence Institute of Advanced Technology,2
University of Essex,2
Singapore-HUJ Alliance for Research and Enterprise,2
Madurai Kamaraj University,2
Gujarat Cancer Society,2
Central University of Haryana,2
London Metropolitan University,2
University of Kent,2
Dong-A University,1
Swami Ramanand Teerth Marathwada University,1
Manav Rachna International Institute of Research and Studies,1
BML Munjal University,1
Chang Gung University,1
Siksha O Anusandhan University,1
National Institute of Pharmaceutical Education and Research,1
National Centre for Disease Informatics and Research,1
Indian Council of Medical Research,1
Rama Devi Women's University,1
NIHR MindTech MedTech Co-operative,1
Indira Gandhi Centre for Atomic Research,1
National Institute of Technology Kurukshetra,1
King Faisal University,1
"Indian Institute of Information Technology, Nagpur",1
Dr. Hari Singh Gour University,1
Indian Institute of Technology Dhanbad,1
Indian Institute of Management Calcutta,1
